FIPS,Rural-urban_Continuum Code_2013,Density per square mile of land area - Population,Total Hospitals (2019),deaths
37097,1.0,277.8,1.9246389990000001,113
37101,1.0,213.4,2.186096949,332
37109,1.0,262.7,0.9035615709999999,0
37119,1.0,1755.5,11.79905582,1038
37125,4.0,126.5,1.06440567,145
37127,3.0,177.3,1.0140771720000001,51
37129,2.0,1058.1,2.5053582469999998,59
37133,3.0,233.1,2.132252143,42
37135,2.0,336.2,1.575079211,271
37147,3.0,257.9,1.9405918169999998,48
37151,2.0,181.1,1.546215289,82
37155,4.0,141.3,1.421958045,56
37157,2.0,165.6,0.978202207,65
37159,1.0,270.7,1.523682877,459
37161,4.0,120.2,0.720799875,118
37171,4.0,138.4,0.7760468890000001,0
37179,1.0,318.7,2.544555367,197
37183,1.0,1078.8,11.78184101,294
37191,3.0,221.7,1.329379927,187
37193,6.0,91.9,0.73947082,37
37195,4.0,220.6,0.878591474,158
39003,3.0,264.2,1.7038128940000001,410
39007,4.0,144.6,1.61801068,243
39009,4.0,128.6,1.092326905,39
39013,3.0,132.3,1.120324649,147
39017,1.0,788.2,6.346011384,137
39023,3.0,348.0,2.233595924,27
39025,1.0,436.5,3.409949252,63
39029,4.0,202.7,1.703846086,523
39035,1.0,2800.0,20.64326578,2373
39041,1.0,393.2,3.3993277010000003,100
39043,4.0,306.4,1.2383234379999999,85
39045,1.0,289.8,2.585385,49
39049,1.0,2186.1,21.74596529,1470
39055,1.0,233.4,1.56055473,266
39057,2.0,390.5,2.788074059,92
39061,1.0,1976.7,13.55382883,1463
39063,4.0,140.7,1.260147405,27
39081,3.0,170.7,1.0914805,18
39085,1.0,1011.2,3.8256501889999996,223
39089,1.0,243.9,2.917092706,138
39093,1.0,613.6,5.135868248,604
39095,2.0,1296.2,7.134678114,1976
39099,2.0,580.2,3.811178327,1906
39101,4.0,164.7,1.082999856,91
39103,1.0,409.0,2.973137982,365
39109,2.0,252.1,1.7628786730000001,763
39113,2.0,1159.5,8.834657292000001,259
39119,4.0,129.5,1.430307965,0
39133,2.0,331.2,2.703964655,903
39139,3.0,251.3,2.009779936,37
39141,4.0,113.3,1.276760174,17
39145,4.0,130.3,1.253044243,0
39151,2.0,652.9,6.166706332,990
39153,2.0,1312.6,8.993764801000001,1095
39155,2.0,340.1,3.296448025,692
39157,4.0,163.1,1.529768829,2
39165,1.0,530.0,3.85318324,229
39169,4.0,206.4,1.924608377,535
39173,2.0,203.3,2.169053407,408
40017,1.0,128.9,4.5791309280000005,88
40027,1.0,474.7,8.929221301,799
40031,3.0,116.1,3.817511645,24
40037,2.0,73.6,2.269926623,151
40101,4.0,87.6,2.1671516090000003,126
40109,1.0,1013.8,25.12573296,876
40119,4.0,113.0,2.6007594569999997,13
40125,4.0,88.2,2.304005322,106
40131,2.0,128.6,2.915995343,70
40143,2.0,1058.1,20.55373478,848
40145,2.0,130.1,2.539576306,333
