FIPS,inter_movement,in_movement,out_movement
38013,2003.1894838886674,700.2041251979139,1672.137177161385
38015,182844.72576949146,49563.76702667342,32670.284081564285
38017,292169.9665788468,93003.95404189201,58884.57248834953
38019,4153.5581036045205,1197.9393867748768,2017.8686028855188
38021,6466.877185499578,1441.2852596256873,2621.60844199734
38023,2344.6651035059062,582.6295537077466,1398.9037204701465
38025,4047.6703434639016,4352.62067315585,3783.9726695663016
38027,2498.376050623015,732.6688511861073,1218.344932110264
38029,3470.5763396680113,667.8176418401273,1451.865731234861
38031,3924.4953496161675,1219.879089043547,1833.6591421463806
38033,2039.6814087386895,835.2173266327692,1057.354908615579
38035,126883.5283934161,38799.539458176536,22769.73311642105
38037,2183.7530394755504,476.22234716562605,1616.9504205990681
38039,2202.857454475331,599.7114915191177,1240.6996833680294
38041,2627.615524915295,706.6818783027355,1615.2859174389528
38043,2229.1049876079096,1586.25396626713,1669.0400225252129
38045,4181.960816360883,1145.15417850054,2783.7193462662353
38047,1701.3860631910934,461.67817765704746,1140.102798238602
38049,5604.066200007458,1434.3209383603464,6116.3646021423265
38051,2564.5011537145588,617.0884048196959,1637.064989348104
38053,12115.782094838567,13354.816115460344,7923.210811932253
38055,9932.54572439668,3889.8822998304718,7042.1876313138255
38057,11669.460006208063,3005.0568302618667,4545.356132803588
38059,39801.602874984506,16634.181196483176,26610.936426213262
38061,10075.666986919065,8045.5569173297545,7558.163092982597
38063,3019.1381728171464,953.69861264026,2103.5274316467708
38065,1542.663562063599,722.4044771638631,1534.8856328824556
38067,7944.5575687664505,2342.822448499461,3806.5044934984194
38069,4966.658172425892,1978.1349108386155,2220.9590083796056
38071,19657.40080343797,6897.308252908098,4718.632221205701
38073,6895.851892093636,1942.707691695588,3187.4296254832907
38075,2238.6640142383403,902.2336259896363,2037.9543524608057
38077,22951.18434426079,8516.675984934516,10265.10653410957
38079,21323.564639711552,1544.7409065079942,6420.028098657735
38081,3938.1803755802616,2133.510812816708,2500.092045951006
38083,1174.4289037669037,208.63105108149247,1346.8015490367782
38085,3911.2538140878955,970.8950692573841,1746.7834957907467
38087,536.914809665267,189.64713007004897,426.84962301368324
38089,51969.43405493778,11951.661935985065,13019.402507457131
38091,1652.2857417445723,512.8861183880582,1483.169152437083
38093,34264.01850902841,7208.088436089865,8059.62399889399
38095,2508.2410003928194,538.9013877543891,1410.3353038549078
38097,9386.375772778922,3249.7836025327993,5818.961647642247
38099,13679.39522677808,3010.8794833971056,6019.302556680841
38101,134497.2867578512,25221.008152400434,21044.708264626603
38103,4526.0392794732925,1046.037972321263,2060.042902479165
38105,56216.78429037734,15301.768698809026,14841.796227710214
39001,38155.637185814434,7177.216157811346,17637.51373058018
39003,176341.61101358477,52401.42495918148,37435.167580520334
39005,78863.70093326406,26219.361804295633,32078.505600452547
39007,156796.58175870622,28983.129110733553,43565.827674430846
39009,112680.48197242209,38086.585196424276,25252.432868637316
39011,67330.07533359,22777.094129388868,29489.616661881944
39013,112492.08031464354,34859.10364938038,37214.71307547612
39015,57472.766747089496,16424.689445581582,38160.90246111799
39017,661730.8415600455,210682.13557550558,219702.367946173
39019,35941.6344913582,9746.924820446917,23090.42330095068
