,FIPS,2wk Prior Intra-Mobility,2wk Onset Intra-Mobility,2wk Prior Inter-Mobility,2wk Onset Inter-Mobility,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Jan Temp AVG / F,Feb Temp AVG / F,Mar Temp AVG / F,Apr Temp AVG / F,May Temp AVG / F,Jun Temp AVG / F,Jul Temp AVG / F,Aug Temp AVG / F,Sep Temp AVG / F,Oct Temp AVG / F,Nov Temp AVG / F,Dec Temp AVG / F,Total_age65plus,Total households!!Average household size,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school preschool,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,POP_ESTIMATE_2018,Area in square miles - Land area,HospCt,Beds,NursingCt,Hispanic Population,Black Population,Deaths,Outbreak_date
51,5143,26225.714285714286,25676.857142857138,38082.142857142855,36874.42857142857,215.6,2.0,15.0,32.8,2.6,108.1,35.9,41.4,44.8,58.9,66.3,72.7,76.7,77.4,77.0,56.7,44.0,42.3,27809.0,2.54,4572.0,3391.0,24931.0,11706.0,28697.0,236961,941.97,1.0,613,9.0,40606.0,8708.0,5,2020-04-25
52,6001,68445.42857142858,68395.85714285714,93487.71428571428,94725.0,2043.6,1.0,12.0,46.0,3.0,135.2,50.8,46.2,52.0,59.5,58.6,69.1,70.4,72.7,68.8,62.3,56.1,49.8,230510.0,2.84,27610.0,21704.0,149900.0,74662.0,139314.0,1666753,739.02,1.0,3379,9.0,373040.0,185930.0,39,2020-03-26
53,6013,63945.857142857145,59516.142857142855,81517.14285714286,77724.85714285714,1465.2,1.0,10.6,41.7,3.2,134.8,50.4,46.2,52.8,60.9,59.4,70.8,71.7,74.1,69.8,63.9,57.2,49.4,181443.0,2.88,14530.0,13737.0,117549.0,67162.0,80036.0,1150215,715.94,1.0,1731,9.0,297255.0,109696.0,20,2020-03-29
54,6019,60803.142857142855,65815.28571428571,70922.42857142858,76568.85714285714,156.2,2.0,24.7,20.7,7.5,69.5,43.7,38.4,45.8,55.5,54.8,69.0,73.2,74.2,66.5,55.9,50.5,42.4,122113.0,3.16,15552.0,18486.0,125147.0,63491.0,70785.0,994400,5957.99,1.0,2035,9.0,531677.0,57839.0,7,2020-04-08
55,6025,8161.857142857143,8621.714285714286,10073.714285714286,10881.0,41.8,3.0,31.0,14.5,18.1,62.0,55.7,53.8,64.5,74.0,73.7,86.8,92.8,94.2,86.0,73.8,64.9,54.7,23580.0,4.11,3772.0,1296.0,23072.0,13053.0,14296.0,181827,4176.6,1.0,268,6.0,153756.0,6122.0,8,2020-04-06
56,6029,58239.285714285725,60143.142857142855,67122.71428571429,69249.85714285714,103.3,2.0,26.2,16.1,8.0,68.6,48.0,43.9,51.8,62.1,61.3,76.4,80.4,80.7,72.7,61.9,55.3,46.3,98347.0,3.17,10712.0,11408.0,121221.0,59387.0,59921.0,896764,8131.92,1.0,1628,9.0,483846.0,56081.0,8,2020-04-10
57,6037,510261.7142857143,577251.7142857143,598209.8571428572,684954.7142857143,2419.6,1.0,21.3,31.8,4.7,90.3,50.7,44.9,52.8,60.3,58.2,70.3,75.7,76.8,71.7,64.4,57.8,48.6,1375957.0,2.99,157996.0,127929.0,947784.0,514612.0,849715.0,10105518,4057.88,1.0,24676,9.0,4915287.0,906467.0,269,2020-03-22
58,6041,8931.714285714286,8137.571428571428,11727.285714285714,11225.142857142857,485.1,1.0,6.8,58.8,2.4,163.4,52.0,46.4,51.4,56.9,54.9,62.2,62.1,66.0,64.2,61.2,55.5,50.6,57943.0,2.4,3883.0,3272.0,24076.0,13889.0,14354.0,259666,520.31,1.0,458,9.0,41846.0,7321.0,10,2020-03-31
59,6047,15001.142857142857,16219.142857142857,20185.85714285714,21739.428571428565,132.2,2.0,30.6,14.0,8.3,74.6,50.1,47.7,54.1,63.7,63.2,75.4,78.4,79.0,73.0,63.4,56.3,49.4,30845.0,3.38,3991.0,4673.0,37494.0,16961.0,22167.0,274765,1934.97,1.0,230,9.0,165437.0,10929.0,3,2020-04-08
60,6053,16207.571428571431,17416.571428571428,20090.14285714286,21218.285714285714,126.5,2.0,28.7,24.5,6.3,92.6,51.1,45.7,51.8,58.5,58.4,67.8,70.1,72.3,69.3,61.6,55.3,50.0,59201.0,3.31,5147.0,4645.0,50857.0,28314.0,30351.0,435594,3280.6,1.0,793,9.0,257572.0,15215.0,5,2020-04-10
